index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
357,1.162791,1.568582,MGC,0.911266,0.231980,1.059611,0.363880
358,1.322513,1.405000,MGC,0.487171,0.393540,0.644290,0.552924
359,1.248965,1.417143,MGC,0.554516,0.449007,0.692571,0.636307
360,1.341243,3.241654,MGC,0.546019,0.118624,0.732345,0.384538
361,1.263035,1.592168,MGC,0.602792,0.283950,0.761347,0.452096
362,1.259158,1.424633,MGC,0.645686,0.294033,0.813021,0.418889
363,1.303248,2.027551,MGC,0.662607,0.192921,0.863541,0.391157
364,1.217691,1.413486,MGC,0.649764,0.532652,0.791212,0.752896
365,1.161629,1.689791,MGC,0.806627,0.326455,0.937001,0.551641
366,1.195166,1.711952,MGC,0.649098,0.245139,0.775780,0.419666
367,1.174926,1.444563,MGC,0.812500,0.481367,0.954627,0.695364
368,1.346051,2.015490,MGC,0.606231,0.264350,0.816018,0.532794
369,1.300953,1.750663,MGC,0.391190,0.192956,0.508920,0.337800
370,1.280213,1.700695,MGC,0.532061,0.249242,0.681151,0.423884
371,1.198750,1.598169,MGC,0.715481,0.255843,0.857683,0.408880
372,1.303468,1.881139,MGC,0.571457,0.154123,0.744875,0.289927
373,1.313591,2.030024,MGC,0.722773,0.218279,0.949428,0.443112
374,1.154507,1.442361,MGC,0.723568,0.498619,0.835364,0.719188
